,k,max_depth,n_estimators,mean_train_score,mean_test_score
0,2,1.0,10,0.2860717810898241,0.28486293206197855
1,2,1.0,100,0.3148123529042573,0.30512514898688914
2,2,1.0,250,0.3155174893002046,0.30870083432657924
3,2,1.0,500,0.2850415429594712,0.2526817640047676
4,2,10.0,10,0.7646078409083907,0.5494636471990465
5,2,10.0,100,0.7896817693773147,0.600715137067938
6,2,10.0,250,0.8061202668466186,0.6066746126340882
7,2,10.0,500,0.7865581649534151,0.5935637663885578
8,2,,10,0.7883967511269375,0.5840286054827175
9,2,,100,0.8104528776355561,0.6233611442193087
10,2,,250,0.8152952105905654,0.5923718712753278
11,2,,500,0.8016235011703423,0.6269368295589988
12,3,1.0,10,0.21808851374020222,0.2133492252681764
13,3,1.0,100,0.2817466779533296,0.26102502979737785
14,3,1.0,250,0.30386332097936836,0.2824791418355185
15,3,1.0,500,0.2933166314069893,0.2765196662693683
16,3,10.0,10,0.6173308344452222,0.5172824791418356
17,3,10.0,100,0.6715300176194944,0.5303933253873659
18,3,10.0,250,0.6722454677506171,0.5542312276519666
19,3,10.0,500,0.6704636566508716,0.5578069129916567
20,3,,10,0.6417017372715373,0.5101311084624554
21,3,,100,0.6859530847427499,0.5733015494636472
22,3,,250,0.6764387440540621,0.5625744934445769
23,3,,500,0.6905859235239089,0.5744934445768772
24,4,1.0,10,0.20502059979052564,0.20023837902264602
25,4,1.0,100,0.2793767820173173,0.25387365911799764
26,4,1.0,250,0.2850033093678628,0.27175208581644816
27,4,1.0,500,0.30280000612499475,0.2824791418355185
28,4,10.0,10,0.5260686190746425,0.4636471990464839
29,4,10.0,100,0.5865281556797783,0.4934445768772348
30,4,10.0,250,0.6035080366152304,0.5160905840286055
31,4,10.0,500,0.6274313892483551,0.5220500595947557
32,4,,10,0.5238265684965194,0.44219308700834326
33,4,,100,0.6119663548356271,0.532777115613826
34,4,,250,0.6263603267100217,0.5482717520858165
35,4,,500,0.6340586041825157,0.5625744934445769
